energy,7bcea01794773fc317d8fb5a8ea7c275,4c32a0a4f1938ddc47bf6ad0b748658e
-9.969661904556844,0.5924979758174647,4.754226309832875e-162
-9.958791880259714,0.6518724230662564,4.247265547726163e-161
-9.947921855962583,0.7146164270754259,3.769950251546366e-160
-9.937051831665453,0.7805810967137474,3.3247459407491095e-159
-9.926181807368323,0.8495671526332516,2.913251309631907e-158
-9.915311783071193,0.9213232773631267,2.5362617789001187e-157
-9.904441758774063,0.9955452928612774,2.1938495660728948e-156
-9.893571734476934,1.07187625700268,1.8854553510178e-155
-9.882701710179804,1.1499075543093717,1.6099867478145715e-154
-9.871831685882674,1.2291810364394022,1.3659191405320958e-153
-9.860961661585543,1.3091922449193243,1.1513949520332572e-152
-9.850091637288413,1.3893947228424242,9.643180414881324e-152
-9.839221612991283,1.4692053944226793,8.024406181620727e-151
-9.828351588694153,1.548010962174085,6.63440769752095e-150
-9.817481564397022,1.625175241961209,5.449893925669291e-149
-9.806611540099892,1.7000473271960939,4.4480594523381975e-148
-9.795741515802762,1.7719704460334722,3.6070300297909024e-147
-9.784871491505632,1.840291350535234,2.9062005013075715e-146
-9.774001467208503,1.9043700553903944,2.326473068404163e-145
-9.763131442911373,1.9635897267619131,1.8504064187472136e-144
-9.752261418614243,2.017366509939569,1.4622878240856717e-143
-9.741391394317112,2.0651590783074103,1.148141042943998e-142
-9.730521370019982,2.1064776860957344,8.95682854938695e-142
-9.719651345722852,2.140892513685204,6.942404604132141e-141
-9.708781321425722,2.1680411068424172,5.346409517830009e-140
-9.697911297128591,2.1876347299412235,4.090827459244004e-139
-9.687041272831461,2.1994634774854465,3.109973900443003e-138
-9.676171248534331,2.2034000174080455,2.3490862726418123e-137
-9.6653012242372,2.1994018728026905,1.7629412121307525e-136
-9.65443119994007,2.1875121849137287,1.3145385734474783e-135
-9.643561175642942,2.1678589382202915,9.738800721775849e-135
-9.632691151345812,2.1406526670781374,7.168598628342855e-134
-9.621821127048682,2.106182701383029,5.242756544925335e-133
-9.610951102751551,2.064812044870393,3.809620877439077e-132
-9.600081078454421,2.016971012819628,2.7504291730549174e-131
-9.58921105415729,1.9631497850558113,1.9729487965720116e-130
-9.57834102986016,1.9038900543619475,1.4061375419039203e-129
-9.56747100556303,1.8397759690442737,9.957181725094841e-129
-9.5566009812659,1.7714245809565399,7.005541401157964e-128
-9.545730956968772,1.6994760165371667,4.897152353028236e-127
-9.534860932671641,1.6245835883261992,3.4012782933196016e-126
-9.523990908374511,1.5474040582118291,2.347131166452123e-125
-9.51312088407738,1.468588251721639,1.6092710322599413e-124
-9.50225085978025,1.3887722056220562,1.0962703496566026e-123
-9.49138083548312,1.30856900967397,7.419980827334945e-123
-9.48051081118599,1.228561478487959,4.989816086889597e-122
-9.46964078688886,1.149295761983568,3.333979578112116e-121
-9.45877076259173,1.0712759739781854,2.2132882196318856e-120
-9.4479007382946,0.9949598889068356,1.4598547603975218e-119
-9.43703071399747,0.9207557275606255,9.567048354559869e-119
-9.426160689700339,0.849020024912348,6.22935280716931e-118
-9.415290665403209,0.7800565473546385,4.029995196349975e-117
-9.40442064110608,0.7141162036663266,2.590375771152853e-116
-9.39355061680895,0.6513978742621604,1.6543128792096255e-115
-9.38268059251182,0.5920500671360287,1.0497096099220577e-114
-9.37181056821469,0.5361732965901469,6.617856352641303e-114
-9.36094054391756,0.48382307241796324,4.14535892539427e-113
-9.350070519620429,0.4350133826007369,2.5799042283389026e-112
-9.339200495323299,0.38972055158897845,1.5952974444616402e-111
-9.328330471026169,0.34788735856545167,9.80113554683322e-111
-9.317460446729038,0.30942730533759,5.982845144610668e-110
-9.30659042243191,0.2742289312334377,3.628572203939951e-109
-9.29572039813478,0.24216008208727688,2.1865550582002293e-108
-9.28485037383765,0.21307205159324488,1.3091267778191894e-107
-9.273980349540519,0.18680352547520562,7.787528263562441e-107
-9.263110325243389,0.16318427159002777,4.602716292168257e-106
-9.252240300946259,0.1420385318065324,2.7028716132825497e-105
-9.241370276649128,0.12318808389181972,1.5770057211168847e-104
-9.230500252351998,0.10645495335618625,9.141927258791431e-104
-9.219630228054868,0.0916637659869396,5.265491239256442e-103
-9.208760203757738,0.07864374143520396,3.0132604296368063e-102
-9.197890179460607,0.06723033656817995,1.7132908009963835e-101
-9.187020155163477,0.057266554283630054,9.678813876131209e-101
-9.176150130866347,0.04860393908108365,5.432626334596389e-100
-9.165280106569218,0.0411032849221296,3.029661941476893e-99
-9.154410082272088,0.03463508385829508,1.6787079567643584e-98
-9.143540057974958,0.02907974566052895,9.241719165684021e-98
-9.132670033677828,0.024327619374678304,5.055068281220945e-97
-9.121800009380697,0.02027884749452932,2.747248379745255e-96
-9.110929985083567,0.016843082438266675,1.4834245645803862e-95
-9.100059960786437,0.013939093387972699,7.958471173758052e-95
-9.089189936489307,0.011494289453311653,4.2421934539689277e-94
-9.078319912192176,0.009444182689478517,2.2467147272342586e-93
-9.067449887895048,0.007731811863195982,1.1822301627229605e-92
-9.056579863597918,0.006307145131564459,6.180915119145585e-92
-9.045709839300788,0.0051264770731434695,3.210703225998129e-91
-9.034839815003657,0.004151832868021206,1.6570827254405735e-90
-9.023969790706527,0.0033503899263304646,8.49737640067415e-90
-9.013099766409397,0.002693924959122868,4.3293446777153585e-89
-9.002229742112267,0.002158292403454026,2.1915738560851063e-88
-8.991359717815136,0.001722938273508753,1.1022667306084194e-87
-8.980489693518006,0.0013704519188316633,5.508253620959026e-87
-8.969619669220876,0.0010861568270175267,2.734876997746753e-86
-8.958749644923746,0.0008577405018295036,1.3491440089747362e-85
-8.947879620626615,0.0006749225632257341,6.61264884186858e-85
-8.937009596329485,0.0005291595337449366,3.2202475066213963e-84
-8.926139572032357,0.0004133842741716772,1.5581156346989583e-83
-8.915269547735226,0.0003217776871861291,7.490430159243027e-83
-8.904399523438096,0.0002495700974591215,3.5777539781437076e-82
-8.893529499140966,0.000192869617730396,1.6978949956317965e-81
-8.882659474843836,0.0001485148014972896,8.005856917477892e-81
-8.871789450546705,0.00011394894452194228,3.75060614199074e-80
-8.860919426249575,8.711351200002601e-05,1.7457889394826276e-79
-8.850049401952445,6.635832070799169e-05,8.0738124278474e-79
-8.839179377655315,5.0366282796795474e-05,3.709900092476144e-78
-8.828309353358186,3.809070935470557e-05,1.6937231111835235e-77
-8.817439329061056,2.8703368703501703e-05,7.682795152745514e-77
-8.806569304763926,2.155168978294263e-05,3.462523539083038e-76
-8.795699280466795,1.612368974976681e-05,1.5504681741552246e-75
-8.784829256169665,1.2019383351636025e-05,6.898102103284785e-75
-8.773959231872535,8.927597241772704e-06,3.0492499218578123e-74
-8.763089207575405,6.607263698236987e-06,1.3392235111096735e-73
-8.752219183278275,4.872404537399405e-06,5.843993840944065e-73
-8.741349158981144,3.5801373316822535e-06,2.533745992167362e-72
-8.730479134684014,2.621142798690148e-06,1.091473109865735e-71
-8.719609110386884,1.9121252021475248e-06,4.6715354333970625e-71
-8.708739086089754,1.3898777987155132e-06,1.986565526134371e-70
-8.697869061792623,1.0066339146697526e-06,8.393493970144026e-70
-8.686999037495495,7.264423370608621e-07,3.523540856164443e-69
-8.676129013198365,5.223545523626516e-07,1.4696451343606737e-68
-8.665258988901234,3.7425212014091814e-07,6.090350561751749e-68
-8.654388964604104,2.671762210821096e-07,2.5076605191690604e-67
-8.643518940306974,1.9004917332953105e-07,1.0258688294227688e-66
-8.632648916009844,1.3470037819606873e-07,4.1697648749406277e-66
-8.621778891712713,9.512754604106851e-08,1.6839451438098351e-65
-8.610908867415583,6.693887673571743e-08,6.756798283231403e-65
-8.600038843118453,4.6933743502562014e-08,2.693708572449102e-64
-8.589168818821324,3.2788882765627706e-08,1.0669815352127945e-63
-8.578298794524194,2.2824574530741922e-08,4.1991350255750795e-63
-8.567428770227064,1.5831184514160315e-08,1.641948066725853e-62
-8.556558745929934,1.094104436288559e-08,6.379044535880563e-62
-8.545688721632803,7.534228640893733e-09,2.462342678241433e-61
-8.534818697335673,5.169558573892334e-09,9.44360887212199e-61
-8.523948673038543,3.534294815819349e-09,3.598521744028132e-60
-8.513078648741413,2.4076133077995033e-09,1.3624071423073886e-59
-8.502208624444282,1.6342005222843615e-09,5.124911060603335e-59
-8.491338600147152,1.1052451123962306e-09,1.915412841883845e-58
-8.480468575850022,7.448117329613922e-10,7.112709926251719e-58
-8.469598551552892,5.001140597945978e-10,2.624245377220626e-57
-8.458728527255762,3.3460025460856724e-10,9.61989706321978e-57
-8.447858502958631,2.230581615279729e-10,3.503749507828909e-56
-8.436988478661503,1.48164656309491e-10,1.2679213514880278e-55
-8.426118454364373,9.80631333374615e-11,4.558775667918003e-55
-8.415248430067242,6.466980657410152e-11,1.628548769003969e-54
-8.404378405770112,4.2494429829060184e-11,5.780294373637475e-54
-8.393508381472982,2.7822560740554664e-11,2.0384299178670165e-53
-8.382638357175852,1.8150844671902432e-11,7.142302729433839e-53
-8.371768332878721,1.1798620425519687e-11,2.4864364511024418e-52
-8.360898308581591,7.641880942729292e-12,8.600290371296338e-52
-8.350028284284463,4.931782931650591e-12,2.955598965874459e-51
-8.339158259987332,3.1713362185719657e-12,1.0091937169837253e-50
-8.328288235690202,2.0319605408692642e-12,3.423735538568376e-50
-8.317418211393072,1.29724767460034e-12,1.1540444172535078e-49
-8.306548187095942,8.252113259733117e-13,3.864928630677313e-49
-8.295678162798811,5.230486764157233e-13,1.2860476901432007e-48
-8.284808138501681,3.303343095236172e-13,4.251765556956311e-48
-8.273938114204551,2.078738727729622e-13,1.3966197714693785e-47
-8.26306808990742,1.3034091923030512e-13,4.558098469538477e-47
-8.25219806561029,8.143222478096614e-14,1.478038888974697e-46
-8.24132804131316,5.069282207089011e-14,4.761948120848811e-46
-8.23045801701603,3.1443529293150676e-14,1.5243338681592486e-45
-8.2195879927189,1.943348779039942e-14,4.848106807887911e-45
-8.20871796842177,1.1967539391050505e-14,1.5320075301939224e-44
-8.197847944124641,7.343339848453042e-15,4.810013126042773e-44
-8.18697791982751,4.489697059552807e-15,1.5004732722843528e-43
-8.17610789553038,2.7351118861028197e-15,4.6505777216715695e-43
-8.16523787123325,1.6602282669473825e-15,1.4321291696466411e-42
-8.15436784693612,1.004142061440944e-15,4.381815779872912e-42
-8.14349782263899,6.051418139585833e-16,1.3320566046373136e-41
-8.13262779834186,3.6337397075030326e-16,4.0233506641340365e-41
-8.12175777404473,2.1741280280679706e-16,1.2073960001011075e-40
-8.1108877497476,1.2961374626056437e-16,3.600047410025689e-40
-8.10001772545047,7.69930741136712e-17,1.0665061109607188e-39
-8.08914770115334,4.557082649118145e-17,3.139172036678167e-39
-8.07827767685621,2.6875515212753428e-17,9.180440635783036e-39
-8.06740765255908,1.5792880174354486e-17,2.667525482801577e-38
-8.05653762826195,9.246993028959527e-18,7.701055759840077e-38
-8.04566760396482,5.394787822312998e-18,2.208963804372501e-37
-8.03479757966769,3.1360491101603186e-18,6.295403513952493e-37
-8.023927555370559,1.8164606322466524e-18,1.7826052667725678e-36
-8.013057531073429,1.0483439014172276e-18,5.0151443672294413e-36
-8.002187506776298,6.028596326208853e-19,1.4018719107685806e-35
-7.991317482479169,3.4543257045677883e-19,3.89340757290357e-35
-7.980447458182039,1.9721730161650373e-19,1.0743555838534776e-34
-7.969577433884909,1.1219187048245159e-19,2.9455260109889463e-34
-7.958707409587779,6.359345393717212e-20,8.02369330055411e-34
-7.947837385290649,3.5916837213159075e-20,2.1716129261031614e-33
-7.936967360993519,2.0212424354156606e-20,5.839654553544238e-33
-7.9260973366963885,1.1333743432815791e-20,1.560229685881179e-32
-7.915227312399258,6.332322061310112e-21,4.1417755236593745e-32
-7.904357288102128,3.525228406727935e-21,1.0923988102128666e-31
-7.893487263804998,1.9554475676294428e-21,2.862678131556952e-31
-7.8826172395078675,1.0807860692360637e-21,7.453503556446928e-31
-7.871747215210738,5.952068891396182e-22,1.9281687787151704e-30
-7.860877190913608,3.2661100092461783e-22,4.95594263188015e-30
-7.850007166616478,1.785781486267264e-22,1.2656223493545462e-29
-7.839137142319348,9.728826806454212e-23,3.2112834486045885e-29
-7.828267118022218,5.281135084607203e-23,8.09561389578998e-29
-7.817397093725088,2.856463827762121e-23,2.027764773529287e-28
-7.806527069427958,1.539447311978784e-23,5.0464038377928415e-28
-7.795657045130827,8.266764746236513e-24,1.2477945096883634e-27
-7.784787020833697,4.423244805371572e-24,3.065496182221534e-27
-7.773916996536567,2.3582021004113845e-24,7.48264479472508e-27
-7.763046972239437,1.252724917334753e-24,1.814705352400533e-26
-7.752176947942307,6.630786706799947e-25,4.3727409692749713e-26
-7.741306923645177,3.4971080325892803e-25,1.046882701458805e-25
-7.730436899348047,1.837755315711286e-25,2.4902269935519364e-25
-7.719566875050917,9.622789259980339e-26,5.88540684514762e-25
-7.708696850753787,5.020522413709054e-26,1.3820084050380765e-24
-7.697826826456657,2.609945833097737e-26,3.2243451103687112e-24
-7.686956802159527,1.3519129436719564e-26,7.474273663234906e-24
-7.6760867778623965,6.977512232247904e-27,1.721444841232262e-23
-7.665216753565266,3.588286698366628e-27,3.939252948351733e-23
-7.654346729268136,1.8386891450420783e-27,8.956354328281862e-23
-7.643476704971006,9.387806673323147e-28,2.0232302296914374e-22
-7.632606680673876,4.775893250448528e-28,4.541046872423388e-22
-7.621736656376746,2.420916067603618e-28,1.0126591817363525e-21
-7.610866632079616,1.2227551566126218e-28,2.243712800501505e-21
-7.5999966077824865,6.153666013228864e-29,4.939328004475603e-21
-7.589126583485356,3.0857659906474063e-29,1.0803515751511035e-20
-7.578256559188226,1.541795249679319e-29,2.3477886160493256e-20
-7.567386534891096,7.675825032646906e-30,5.069317774838561e-20
-7.556516510593966,3.8076592684650635e-30,1.0875185679410433e-19
-7.545646486296835,1.882026517091797e-30,2.3180376516708407e-19
-7.534776461999705,9.268896793216164e-31,4.909089294356347e-19
-7.523906437702575,4.548466526548372e-31,1.0329469519745701e-18
-7.5130364134054455,2.224009345159216e-31,2.1594927276246395e-18
-7.502166389108315,1.0835347919216427e-31,4.485616224591058e-18
-7.491296364811185,5.259975997232408e-32,9.257401989976493e-18
-7.480426340514056,2.5442472400298064e-32,1.898247219206557e-17
-7.469556316216925,1.2262231475462745e-32,3.867346300763684e-17
-7.458686291919795,5.8886312099653295e-33,7.828345659898534e-17
-7.447816267622665,2.81769415460209e-33,1.57443075749268e-16
-7.436946243325535,1.3434081971679564e-33,3.1461090923856935e-16
-7.426076219028404,6.3819997837938045e-34,6.246268245710366e-16
-7.415206194731274,3.020926957401571e-34,1.2321515422736816e-15
-7.404336170434144,1.4248144549354044e-34,2.4149284039375214e-15
-7.393466146137015,6.695932215686226e-35,4.702632435649892e-15
-7.382596121839884,3.13543955563546e-35,9.098597453856623e-15
-7.371726097542754,1.4629196238416588e-35,1.7490591949842195e-14
-7.360856073245625,6.801068462084793e-36,3.3406517578950587e-14
-7.3499860489484945,3.1504201455639635e-36,6.339493250502614e-14
-7.339116024651364,1.4541005995620839e-36,1.195293403647749e-13
-7.328246000354234,6.687365793340592e-37,2.2391910136951938e-13
-7.317375976057104,3.0644345741568592e-37,4.167776322090277e-13
-7.3065059517599735,1.3992015451117885e-37,7.707513679954081e-13
-7.295635927462843,6.365680641884371e-38,1.4161877914791487e-12
-7.284765903165713,2.8856527338824594e-38,2.5853778803119976e-12
-7.273895878868584,1.3034006500878437e-38,4.689470974963327e-12
-7.263025854571453,5.866059299805668e-39,8.451237688662316e-12
-7.252155830274323,2.6305684854079465e-39,1.513259542149338e-11
-7.241285805977194,1.1754047059484125e-39,2.6921742541421683e-11
-7.230415781680064,5.233110265203603e-40,4.758713436840317e-11
-7.219545757382933,2.321490947868334e-40,8.357426772127671e-11
-7.208675733085803,1.0261450434378366e-40,1.4583180383245587e-10
-7.197805708788673,4.5194455371510687e-41,2.528299717879447e-10
-7.186935684491543,1.9833356163212672e-41,4.35513383309246e-10
-7.176065660194412,8.672452162955207e-42,7.453686033709848e-10
-7.165195635897282,3.7785246806996257e-42,1.2674689413467125e-09
-7.154325611600153,1.6403527911774887e-42,2.1414118290205863e-09
-7.1434555873030225,7.095563791792872e-43,3.5946756472247053e-09
-7.132585563005892,3.0582374633745606e-43,5.995368231133002e-09
-7.121715538708763,1.3133792409980478e-43,9.93501794455698e-09
-7.110845514411633,5.620096069929221e-44,1.63575437355719e-08
-7.0999754901145025,2.3962491927810755e-44,2.6758647911590326e-08
-7.089105465817372,1.0180166193344673e-44,4.3491749796652585e-08
-7.078235441520242,4.3093563142893334e-45,7.023381145507574e-08
-7.067365417223112,1.8176262651519584e-45,1.1268918412500407e-07
-7.0564953929259815,7.638910523426656e-46,1.7964489178206993e-07
-7.045625368628851,3.1988428477790143e-46,2.8454053986332804e-07
-7.034755344331722,1.3347165161092294e-46,4.4778554559301756e-07
-7.023885320034592,5.549065009430183e-47,7.001524787106802e-07
-7.013015295737461,2.2987155795740457e-47,1.0877067696491183e-06
-7.002145271440332,9.488232411533813e-48,1.6789109942035153e-06
-6.991275247143202,3.902294458224087e-48,2.5747801679477164e-06
-6.980405222846072,1.5991507590831437e-48,3.923279765409136e-06
-6.969535198548941,6.529703002562771e-49,5.939570507327141e-06
-6.958665174251811,2.6566362616337135e-49,8.934236541122008e-06
-6.947795149954681,1.0769744803547465e-49,1.3352312613328924e-05
-6.936925125657551,4.350241599963457e-50,1.9826779546753317e-05
-6.92605510136042,1.75087842002178e-50,2.9251255034813365e-05
-6.915185077063291,7.021554177297509e-51,4.287789651198658e-05
-6.904315052766161,2.8057253794315513e-51,6.244807849905694e-05
-6.8934450284690305,1.117099142368217e-51,9.036522383819828e-05
-6.882575004171901,4.431726234706831e-52,0.00012992125834709935
-6.871704979874771,1.751817170664465e-52,0.00018559050288429325
-6.860834955577641,6.899844153912455e-53,0.000263407368448411
-6.84996493128051,2.7078489355946257e-53,0.0003714468941201161
-6.83909490698338,1.0588738710056423e-53,0.0005204298327468592
-6.82822488268625,4.1257098242666525e-54,0.000724476457057067
-6.81735485838912,1.6017243395460826e-54,0.001002035276144654
-6.8064848340919895,6.196001571581464e-55,0.0013770140946572412
-6.79561480979486,2.388195698004846e-55,0.0018801409169991027
-6.78474478549773,9.17197690332503e-56,0.002550580629335455
-6.7738747612006,3.509866850365669e-56,0.00343782965800323
-6.76300473690347,1.33829846181535e-56,0.004603904342066058
-6.75213471260634,5.084520052209592e-57,0.006125829003850728
-6.74126468830921,1.9247822204642194e-57,0.008098416128768774
-6.7303946640120795,7.260188231406601e-58,0.01063731324744558
-6.719524639714949,2.7286561459777596e-58,0.013882268789889247
-6.708654615417819,1.0218435075929347e-58,0.018000542340164842
-6.697784591120689,3.812892991886484e-59,0.023190353677053882
-6.686914566823559,1.4176188927512367e-59,0.029684230468073055
-6.676044542526429,5.251689199594819e-60,0.0377520776987987
-6.665174518229299,1.9385329540700848e-60,0.04770375460638997
-6.654304493932169,7.129876519741276e-61,0.059890909336566184
-6.6434344696350385,2.6129161735408998e-61,0.07470779057673692
-6.632564445337909,9.541213060760348e-62,0.09259073230724149
-6.621694421040779,3.471493522196817e-62,0.11401599614835495
-6.610824396743649,1.2585305803432324e-62,0.13949565927146937
-6.599954372446518,4.5461717035337876e-63,0.1695712580538436
-6.589084348149388,1.6362985463803723e-63,0.2048049416926821
-6.578214323852258,5.86832155434508e-64,0.24576795814757413
-6.5673442995551286,2.0970071422797147e-64,0.2930263881585275
-6.556474275257998,7.466560090543364e-65,0.34712416126147294
-6.545604250960868,2.648962851639893e-65,0.4085635284268015
-6.534734226663738,9.364095182427597e-66,0.47778332486212766
-6.523864202366608,3.298302009423222e-66,0.5551355271972381
-6.512994178069478,1.1575764092490543e-66,0.6408607832037231
-6.502124153772348,4.048028523446441e-67,0.7350637591028236
-6.491254129475218,1.4104968115296248e-67,0.8376892977677979
-6.4803841051780875,4.897058609489429e-68,0.9485004984491349
-6.469514080880957,1.6940769881886067e-68,1.0670599029103054
-6.458644056583827,5.839365139502283e-69,1.1927149930202938
-6.447774032286698,2.0055466612976152e-69,1.3245891619536732
-6.436904007989567,6.86332488066376e-70,1.4615792093021729
-6.426033983692437,2.3402970844796914e-70,1.602360227614271
-6.415163959395307,7.951372042015731e-71,1.7453984967199663
-6.404293935098177,2.691831094656188e-71,1.888972690148383
-6.393423910801047,9.080048850109083e-72,2.0312033374098712
-6.382553886503917,3.0518502018966173e-72,2.1700900938199066
-6.371683862206787,1.0220517561017893e-72,2.303555966549108
-6.360813837909657,3.410493397516789e-73,2.4294972549126386
-6.349943813612526,1.1339559541314565e-73,2.545837608862466
-6.339073789315396,3.756728474583287e-74,2.650584315915549
-6.328203765018267,1.2401039073200917e-74,2.7418847146672527
-6.3173337407211365,4.0788806082614567e-75,2.818080519866526
-6.306463716424006,1.3367757519816084e-75,2.8777578414864884
-6.295593692126876,4.365266608014128e-76,2.9197907933608516
-6.284723667829746,1.4203573917064614e-76,2.9433768134945777
-6.273853643532616,4.6048887918548784e-77,2.9480621483803104
-6.262983619235486,1.4875627868976736e-77,2.9337563708651824
-6.252113594938356,4.78813197955616e-78,2.900735282659319
-6.241243570641226,1.5356476105969427e-78,2.8496320713357757
-6.2303735463440955,4.907402414359877e-79,2.781417117917457
-6.219503522046965,1.5625949788261616e-79,2.697367354630147
-6.208633497749836,4.957649562968372e-80,2.5990265244676984
-6.197763473452706,1.5672557566486615e-80,2.4881580697955727
-6.186893449155575,4.936720853828136e-81,2.366692656520598
-6.176023424858445,1.5494298418518364e-81,2.236672510128623
-6.165153400561315,4.8455146376629273e-82,2.100194794173172
-6.1542833762641855,1.5098804150320037e-82,1.9593562020743425
-6.143413351967055,4.6879162254976724e-83,1.8162007679044572
-6.132543327669925,1.4502797421084805e-83,1.6726726458928347
-6.121673303372795,4.470523349530295e-84,1.530575281202826
-6.110803279075665,1.373091892081536e-84,1.3915380188706976
-6.099933254778534,4.202188076789817e-85,1.2569907978683053
-6.089063230481405,1.2814038305935707e-85,1.1281471770137852
-6.078193206184275,3.8934194846817704e-86,1.0059955609948534
-6.0673231818871445,1.1787210145971118e-86,0.8912981569797649
-6.056453157590014,3.555703203278386e-87,0.7845969098780772
-6.045583133292884,1.068746309157078e-87,0.6862254472093674
-6.034713108995755,3.2007989888638265e-88,0.596325917707815
-6.023843084698624,9.551615304101311e-89,0.5148695314267551
-6.012973060401494,2.8400755468163848e-89,0.4416795991425928
-6.002103036104364,8.41429261010704e-90,0.37645591772813425
-5.991233011807234,2.483933571042497e-90,0.3187994457368858
-5.980362987510103,7.306291441712883e-91,0.26823634799575974
-5.969492963212974,2.141354916330392e-91,0.22424064722517684
-5.958622938915844,6.253382100716081e-92,0.18625489255538896
-5.947752914618714,1.8195999902481395e-92,0.15370842827263229
-5.936882890321583,5.275596041905819e-93,0.12603301177807966
-5.926012866024453,1.5240590352659567e-93,0.10267568009351162
-5.915142841727324,4.386990505399456e-94,0.08310889393209782
-5.9042728174301935,1.2582479957565504e-94,0.0668380941126731
-5.893402793133063,3.595840738655661e-95,0.05340688562964221
-5.882532768835933,1.0239277136963667e-95,0.04240012039075972
-5.871662744538803,2.9051783262874503e-96,0.033445182255894525
-5.8607927202416725,8.213172446260881e-97,0.02621179030133238
-5.849922695944543,2.313575815339548e-97,0.020410631577156634
-5.839052671647413,6.493684411426143e-98,0.01579111669399115
-5.828182647350283,1.816072864407663e-98,0.012138524047622707
-5.817312623053152,5.0606931892442436e-99,0.009270764815978076
-5.806442598756022,1.405145820509563e-99,0.007034964098641093
-5.795572574458893,3.887473412054256e-100,0.005304016271943843
-5.784702550161763,1.0716380262502055e-100,0.0039732368140478905
-5.773832525864632,2.943495987919046e-101,0.0029571999795989907
-5.762962501567502,8.055888170998665e-102,0.0021868227283752583
-5.752092477270372,2.19683812964672e-102,0.0016067307456382593
