energy,7bcea01794773fc317d8fb5a8ea7c275,4c32a0a4f1938ddc47bf6ad0b748658e
-10.6762134838703,5.8038356217664976e-09,0.0
-10.665343459573169,1.2215959663520247e-08,0.0
-10.65447343527604,2.5150056389530694e-08,0.0
-10.643603410978908,5.065049149136133e-08,0.0
-10.632733386681778,9.979315598183774e-08,0.0
-10.621863362384648,1.923687888005874e-07,0.0
-10.61099333808752,3.6285713336566077e-07,0.0
-10.60012331379039,6.698249482738434e-07,0.0
-10.58925328949326,1.2102551007332593e-06,0.0
-10.578383265196129,2.140705340677436e-06,0.0
-10.567513240898998,3.7075410592714855e-06,0.0
-10.556643216601868,6.288695711648988e-06,0.0
-10.545773192304738,1.0449375642018821e-05,0.0
-10.534903168007608,1.701373411017112e-05,0.0
-10.524033143710476,2.7153718090194203e-05,0.0
-10.513163119413347,4.249504189362774e-05,0.0
-10.502293095116215,6.523867794460603e-05,0.0
-10.491423070819089,9.82946224921315e-05,0.0
-10.480553046521958,0.00014542334995575255,0.0
-10.469683022224828,0.00021137971360552546,0.0
-10.458812997927698,0.00030205440687339316,0.0
-10.447942973630568,0.0004246095763845943,0.0
-10.437072949333436,0.0005876075457796856,0.0
-10.426202925036309,0.0008011342644945004,0.0
-10.415332900739177,0.0010769211532539987,0.0
-10.404462876442048,0.0014284695576050606,0.0
-10.393592852144916,0.0018711804401203762,0.0
-10.382722827847786,0.002422488315354305,0.0
-10.371852803550658,0.003101993724114484,0.0
-10.360982779253527,0.003931584536309581,0.0
-10.350112754956395,0.004935535228766486,0.0
-10.339242730659269,0.006140576818872143,0.0
-10.328372706362137,0.007575938979868734,0.0
-10.317502682065006,0.009273378863411027,0.0
-10.306632657767876,0.011267225291395387,0.0
-10.295762633470746,0.013594478014774796,0.0
-10.284892609173616,0.01629500550634147,0.0
-10.274022584876484,0.01941187873754913,0.0
-10.263152560579355,0.022991862995256535,0.0
-10.252282536282229,0.027086068750531062,0.0
-10.241412511985097,0.031750742069827746,0.0
-10.230542487687966,0.03704816159961137,0.0
-10.219672463390836,0.043047606974302856,0.0
-10.208802439093706,0.049826372141783946,0.0
-10.197932414796576,0.05747081050745587,0.0
-10.187062390499444,0.06607740646428564,0.0
-10.176192366202317,0.07575385817109972,0.0
-10.165322341905185,0.08662012123703576,0.0
-10.154452317608056,0.09880930209654622,0.0
-10.143582293310924,0.11246821364867643,0.0
-10.132712269013796,0.12775733430628194,0.0
-10.121842244716666,0.14484987051216902,0.0
-10.110972220419535,0.1639296358902397,0.0
-10.100102196122403,0.18518754175905236,0.0
-10.089232171825277,0.20881664220079071,0.0
-10.078362147528145,0.23500587273693127,0.0
-10.067492123231014,0.26393283035762355,0.0
-10.056622098933884,0.29575612215973857,0.0
-10.045752074636754,0.3306079208325644,0.0
-10.034882050339624,0.3685873808499544,0.0
-10.024012026042492,0.40975548168667136,0.0
-10.013142001745363,0.4541316864387759,0.0
-10.002271977448236,0.5016925655830554,0.0
-9.991401953151104,0.5523722756484509,0.0
-9.980531928853974,0.6060645420896775,0.0
-9.969661904556844,0.6626256099418758,0.0
-9.958791880259714,0.7218775206012439,0.0
-9.947921855962583,0.7836110631748188,0.0
-9.937051831665451,0.8475878385964617,0.0
-9.926181807368325,0.9135410582521118,0.0
-9.915311783071193,0.9811749595052085,0.0
-9.904441758774064,1.0501630294163264,0.0
-9.893571734476934,1.1201455436112588,0.0
-9.882701710179804,1.1907271978612612,0.0
-9.871831685882674,1.2614757800512117,0.0
-9.860961661585543,1.3319228515062789,0.0
-9.850091637288411,1.4015672507481398,0.0
-9.839221612991285,1.4698819023672685,0.0
-9.828351588694153,1.5363239481525437,0.0
-9.817481564397022,1.6003476898405087,0.0
-9.806611540099892,1.661419337241317,0.0
-9.795741515802762,1.7190321888366917,0.0
-9.784871491505632,1.7727207117601358,0.0
-9.774001467208503,1.8220720740422294,0.0
-9.763131442911371,1.8667340054319415,0.0
-9.752261418614244,1.9064183674505362,0.0
-9.741391394317112,1.940900406062221,0.0
-9.730521370019982,1.9700142332359667,0.0
-9.719651345722852,1.993645536616189,0.0
-9.708781321425722,2.011722778833945,0.0
-9.697911297128591,2.0242081920707853,0.0
-9.68704127283146,2.031089717572164,0.0
-9.676171248534333,2.032374739639674,0.0
-9.6653012242372,2.028086095680927,0.0
-9.65443119994007,2.018260485018152,0.0
-9.643561175642942,2.0029491083254523,0.0
-9.632691151345812,1.9822201764765173,0.0
-9.621821127048682,1.9561628307217835,0.0
-9.610951102751551,1.9248919899505528,0.0
-9.60008107845442,1.8885536491344714,0.0
-9.58921105415729,1.8473301638231887,0.0
-9.57834102986016,1.8014450522628012,0.0
-9.56747100556303,1.7511668330341743,0.0
-9.5566009812659,1.6968114127815292,0.0
-9.545730956968772,1.6387425738989516,0.0
