energy,7bcea01794773fc317d8fb5a8ea7c275,4c32a0a4f1938ddc47bf6ad0b748658e
-10.6762134838703,0.0,0.0
-10.665343459573169,0.0,0.0
-10.65447343527604,0.0,0.0
-10.643603410978908,0.0,0.0
-10.632733386681778,0.0,0.0
-10.621863362384648,0.0,0.0
-10.61099333808752,0.0,0.0
-10.60012331379039,0.0,0.0
-10.58925328949326,0.0,0.0
-10.578383265196129,0.0,0.0
-10.567513240898998,0.0,0.0
-10.556643216601868,0.0,0.0
-10.545773192304738,0.0,0.0
-10.534903168007608,0.0,0.0
-10.524033143710476,0.0,0.0
-10.513163119413347,0.0,0.0
-10.502293095116215,0.0,0.0
-10.491423070819089,0.0,0.0
-10.480553046521958,0.0,0.0
-10.469683022224828,0.0,0.0
-10.458812997927698,0.0,0.0
-10.447942973630568,0.0,0.0
-10.437072949333436,0.0,0.0
-10.426202925036309,0.0,0.0
-10.415332900739177,0.0,0.0
-10.404462876442048,0.0,0.0
-10.393592852144916,0.0,0.0
-10.382722827847786,0.0,0.0
-10.371852803550658,0.0,0.0
-10.360982779253527,0.0,0.0
-10.350112754956395,0.0,0.0
-10.339242730659269,0.0,0.0
-10.328372706362137,0.0,0.0
-10.317502682065006,0.0,0.0
-10.306632657767876,0.0,0.0
-10.295762633470746,0.0,0.0
-10.284892609173616,0.0,0.0
-10.274022584876484,0.0,0.0
-10.263152560579355,0.0,0.0
-10.252282536282229,0.0,0.0
-10.241412511985097,0.0,0.0
-10.230542487687966,0.0,0.0
-10.219672463390836,0.0,0.0
-10.208802439093706,0.0,0.0
-10.197932414796576,0.0,0.0
-10.187062390499444,0.0,0.0
-10.176192366202317,0.0,0.0
-10.165322341905185,0.0,0.0
-10.154452317608056,0.0,0.0
-10.143582293310924,0.0,0.0
-10.132712269013796,0.0,0.0
-10.121842244716666,0.0,0.0
-10.110972220419535,0.0,0.0
-10.100102196122403,0.0,0.0
-10.089232171825277,0.0,0.0
-10.078362147528145,0.0,0.0
-10.067492123231014,0.0,0.0
-10.056622098933884,0.0,0.0
-10.045752074636754,0.0,0.0
-10.034882050339624,0.0,0.0
-10.024012026042492,0.0,0.0
-10.013142001745363,0.0,0.0
-10.002271977448236,0.0,0.0
-9.991401953151104,0.0,0.0
-9.980531928853974,0.0,0.0
-9.969661904556844,0.0,0.0
-9.958791880259714,0.0,0.0
-9.947921855962583,0.0,0.0
-9.937051831665451,0.0,0.0
-9.926181807368325,0.0,0.0
-9.915311783071193,0.0,0.0
-9.904441758774064,0.0,0.0
-9.893571734476934,0.0,0.0
-9.882701710179804,0.0,0.0
-9.871831685882674,0.0,0.0
-9.860961661585543,0.0,0.0
-9.850091637288411,0.0,0.0
-9.839221612991285,0.0,0.0
-9.828351588694153,0.0,0.0
-9.817481564397022,0.0,0.0
-9.806611540099892,0.0,0.0
-9.795741515802762,0.0,0.0
-9.784871491505632,0.0,0.0
-9.774001467208503,0.0,0.0
-9.763131442911371,0.0,0.0
-9.752261418614244,0.0,0.0
-9.741391394317112,0.0,0.0
-9.730521370019982,0.0,0.0
-9.719651345722852,0.0,0.0
-9.708781321425722,0.0,0.0
-9.697911297128591,0.0,0.0
-9.68704127283146,0.0,0.0
